,Tipo de Documento,Documento,Nome,Fontes
48,CNPJ,08399656000130,AMANDA FLAVIA MARINHO DE MOURA & CIA LTDA - ME,socios-brasil
15,CNPJ,12577610000131,AMANDA FLORES E ARRANJOS LTDA - ME,socios-brasil
16,CNPJ,03139627000116,AMANDA FLORES E PRESENTES LTDA - ME,socios-brasil
19,CNPJ,10471971000173,AMANDA FLORESTAL LTDA - ME,socios-brasil
28,CNPJ,08762837000180,AMANDA FOLHEADOS LTDA. - ME,socios-brasil
34,CNPJ,17310510000168,AMANDA FORNECIMENTO DE ALIMENTOS -EIRELI - ME,socios-brasil
1,CNPJ,08106227000128,AMANDA FRAGANCYS PERFUMARIA E COSMETICOS LTDA - ME,socios-brasil
12,CNPJ,04701551000133,AMANDA FRANCA CONFECCOES LTDA - ME,socios-brasil
30,CNPJ,09033979000179,AMANDA FREITAS SERVICOS DE ARQUITETURA LTDA. - ME,socios-brasil
45,CNPJ,26190870000164,AMANDA FROES MAIA FREITAS - EIRELI - ME,socios-brasil
48,CNPJ,22813113000149,AMANDA F STEVANATO EIRELI - ME,socios-brasil
4,CNPJ,17474790000140,AMANDA FURJAN RIAL - EIRELI - ME,socios-brasil
49,CNPJ,19786746000109,AMANDA & GABRIEL COMERCIAL LTDA - ME,socios-brasil
8,CNPJ,12657578000102,AMANDA GABRIELE G. DOS SANTOS SOUZA & CIA LTDA - EPP,socios-brasil
37,CNPJ,17708672000159,AMANDA GABRIEL PEDROSO LIMA -ME,gastos-deputados
26,CNPJ,17600109000162,AMANDA GAL TOCCHIO 01639291652,gastos-diretos
1,CNPJ,28485959000183,AMANDA GANNAM ALVES EIRELI - ME,socios-brasil
48,CNPJ,04758240000100,AMANDA GAS COMERCIO DE GAS EIRELI - EPP,socios-brasil
49,CNPJ,17781020000140,AMANDAGAS COMERCIO DE GAS LTDA - ME,socios-brasil
12,CNPJ,28410131000166,AMANDA G DE ASSIS EIRELI - ME,socios-brasil
14,CNPJ,17182432000163,AMANDA GEANNY LUIZ VIANA SANDS 05421856445,gastos-diretos
48,CNPJ,26347684000196,AMANDA GIGLIO DE MELO ARAUJO E OUTROS,socios-brasil
17,CNPJ,28133293000102,AMANDA GIRARDI - COMERCIO - EIRELI - ME,socios-brasil
22,CNPJ,12142502000136,AMANDA & GIROTO LTDA - ME,socios-brasil
30,CNPJ,17672891000125,AMANDA GISELE PEREIRA GUIMARAES & CIA LTDA - ME,socios-brasil
13,CNPJ,26752920000150,AMANDA G. M. LAMERA & CIA LTDA - EPP,socios-brasil
24,CNPJ,26986590000167,AMANDA GOERLL HENRIQUES EIRELI - ME,socios-brasil
36,CNPJ,03229969000127,AMANDA GOMES ADMINISTRADORA E CORRETORA DE SEGUROS DE VIDA LTDA - ME,socios-brasil
14,CNPJ,11757863000124,AMANDA GONTIJO ORTODONTIA S/C LTDA - ME,socios-brasil
43,CNPJ,14821013000136,AMANDA GOULART CORRETORA DE SEGUROS DE VIDA LTDA - ME,socios-brasil
46,CNPJ,19428229000150,AMANDA GOULART DE ANDRADE BECK EIRELI - ME,socios-brasil
8,CNPJ,08304688000105,AMANDA G.P. REPRESENTACOES LTDA - ME,socios-brasil
39,CNPJ,22521193000169,AMANDA GRATON DE OLIVEIRA E OUTRO,socios-brasil
17,CNPJ,12926798000186,AMANDA GREQUE COMERCIO DE CALCADOS EIRELI - ME,socios-brasil
48,CNPJ,26290316000159,AMANDA GUEDES SALERNO EIRELI - ME,socios-brasil
3,CNPJ,22796444000118,AMANDA GUERRA ATELIER LIMITADA - ME,socios-brasil
10,CNPJ,10980614000130,AMANDA GUERREIRO & CIA LTDA - ME,socios-brasil
33,CNPJ,11265692000116,AMANDA HAIR ACADEMY LTDA - ME,socios-brasil
42,CNPJ,04672727000176,"AMANDAH - ARREGIMENTACAO DE MULHERES - ASSISTENCIA, NEGOCIOS, DESENVOLVIMENTO, ATUALIZACAO E HUMANISMO",socios-brasil
2,CNPJ,04065178000171,AMANDA HELOISA CAMPANHER & CIA LTDA.,socios-brasil
42,CNPJ,03659978000158,AMANDA HILMEE BIJOUX & PRESENTES LTDA - ME,socios-brasil
19,CNPJ,12973510000124,AMANDA HOTEL TURISMO LTDA - ME,socios-brasil
21,CNPJ,13473940000140,AMANDA H. TEIXEIRA DE OLIVEIRA CONSULTORIA [ATC - CONSULTORIA EMPRESARIAL],gastos-diretos
36,CNPJ,27465534000140,AMANDA & IGOR SERVICOS DE ESCRITORIO LTDA - ME,socios-brasil
41,CNPJ,21861514000101,AMANDA IMOVEIS EIRELI - ME,socios-brasil
42,CNPJ,18856846000193,AMANDA IMOVEIS LTDA - ME,socios-brasil
43,CNPJ,08439540000188,AMANDA IMOVEIS S/S LTDA - ME,socios-brasil
2,CNPJ,13087276000109,AMANDA INCORPORADORA LTDA.,socios-brasil
4,CNPJ,28052164000181,AMANDA INDUSTRIA E COMERCIO DE BRINQUEDOS EIRELI - ME,socios-brasil
5,CNPJ,09340359000182,AMANDA INDUSTRIA E COMERCIO DE EMBALAGENS LTDA - ME,socios-brasil
6,CNPJ,09263975000187,AMANDA INDUSTRIA E COMERCIO DE PRODUTOS NATURAIS LTDA - ME,socios-brasil
25,CNPJ,00904685000109,"AMANDA INSTITUTO DE DEPILACAO, BELEZA E ESTETICA S/C LTDA - ME",socios-brasil
32,CNPJ,13657534000137,AMANDA IRSCHLINGER EIRELI - ME,socios-brasil
21,CNPJ,05982341000123,AMANDA IZABELLY HONORIO DE QUEIROGA - EPP [MADEIREIRA PITOMBEIRA],gastos-diretos
40,CNPJ,27210139000116,AMANDA JACON FERNANDES - CLINICA MEDICA EIRELI,socios-brasil
18,CNPJ,04642668000193,AMANDA & JAQUELINE COMERCIO DE ALIMENTOS LTDA - ME,socios-brasil
27,CNPJ,29225137000126,AMANDA JARDIM BARROS - SOCIEDADE INDIVIDUAL DE ADVOCACIA,socios-brasil
0,CNPJ,01879356000100,AMANDA JOAIS LTDA,socios-brasil
11,CNPJ,11322776000144,"AMANDA JOIA COMERCIO VAREJISTA, ATACADISTA DE JOIAS E RELOGIOS LTDA - ME",socios-brasil
12,CNPJ,21250140000198,AMANDA JOIAS EIRELI - ME,socios-brasil
13,CNPJ,23633805000178,AMANDA JOIAS LTDA - ME,socios-brasil
0,CNPJ,02972179000174,AMANDA JR MANSSUR OFICINA MECANICA LTDA - ME,socios-brasil
33,CNPJ,26455217000180,AMANDA JULIA PAVESE & CIA.LTDA. - ME,socios-brasil
47,CNPJ,03359265000179,AMANDA JUNIOR MAGAZINE LTDA - ME,socios-brasil
31,CNPJ,28068750000114,AMANDA KELLY DA SILVA MARINHO EIRELI - ME,socios-brasil
5,CNPJ,18552092000188,AMANDA KELRY DOS SANTOS LIRA - ME [LIRA PECAS E SERVICOS],gastos-diretos
40,CNPJ,25426502000100,AMANDA KETURAH DE LACERDA ARAUJO EIRELI - ME,socios-brasil
16,CNPJ,23286782000172,AMANDA KLIEMANN SERVICOS MEDICOS EIRELI - ME,socios-brasil
21,CNPJ,10279440000183,AMANDA KNIGHT ALUGUEL DE ROUPAS LTDA - ME,socios-brasil
37,CNPJ,28433321000107,AMANDA KOTHE EIRELI - ME,socios-brasil
43,CNPJ,07416444000151,AMANDA K. REPORTAGENS LTDA. - ME,socios-brasil
4,CNPJ,22174332000125,AMANDA KROTH & CIA. LTDA. - ME,socios-brasil
31,CNPJ,00875678000118,A MANDALA COM DE ARTIGOS ESOTERICOS E PAPELARIA LTDA - ME,socios-brasil
32,CNPJ,03294669000121,AMANDA LAMIM DOS SANTOS EIRELI - EPP,socios-brasil
1,CNPJ,24261734000192,AMANDA & LARA DECORACOES LTDA - ME,socios-brasil
8,CNPJ,12319407000165,AMANDA & LARA REPRESENTACOES COMERCIAIS LTDA,socios-brasil
9,CNPJ,08654193000106,AMANDA & LARA SERVE FESTAS LTDA - ME,socios-brasil
48,CNPJ,15009226000120,AMANDA LEAO COMERCIO DE ROUPAS EIRELI - ME,socios-brasil
4,CNPJ,13457900000104,AMANDA LEAO LTDA - ME,socios-brasil
8,CNPJ,00436686000168,AMANDA LEA SALES LIRA FELIX EIRELI - ME,socios-brasil
24,CNPJ,27219630000108,AMANDA LEITE BANDEIRA DAHLHEIM DA CUNHA VALLE ARQUITETURA EIRELI - ME,socios-brasil
31,CNPJ,06182651000126,AMANDA LEITE DE AZEVEDO COSTA - ME [ALAN FARMA],gastos-diretos
39,CNPJ,07755249000156,AMANDA LEITE GIGA LTDA - ME,socios-brasil
40,CNPJ,09065693000175,AMANDA LEONE S. CRISTOFOLETI & CIA LTDA - ME,socios-brasil
31,CNPJ,03299301000156,AMANDA LETICIA DE SOUZA MELO E CIA LTDA - ME,socios-brasil
5,CNPJ,05083595000100,AMANDA LETICIA ROUPAS E PRESENTES LTDA - ME,socios-brasil
4,CNPJ,24617510000170,AMANDA LIMA COMERCIO DE AREIA EIRELI - ME,socios-brasil
25,CNPJ,17284669000155,AMANDA LIMA FIGUEIREDO ADVOCACIA & CONSULTORIA SOCIEDADE SIMPLES,socios-brasil
20,CNPJ,00444856000156,AMANDA LIMA ROUPAS E ACESSORIOS LTDA - ME,socios-brasil
42,CNPJ,14163451000154,AMANDA LIMA VESTUARIO LTDA - ME,socios-brasil
0,CNPJ,02289491000168,AMANDALINE HOTEL LTDA - ME,"socios-brasil,gastos-deputados"
17,CNPJ,11343843000107,AMANDA LOCADORA DE VEICULOS LTDA - EPP,socios-brasil
18,CNPJ,03503522000102,AMANDA LOCADORA DE VEICULOS LTDA - ME,"socios-brasil,gastos-deputados,gastos-diretos"
19,CNPJ,10188596000159,AMANDA LOCADORA DE VEICULOS LTDA - ME,socios-brasil
20,CNPJ,01217593000105,AMANDA LOCADORA E TRANSPORTES LTDA - ME,socios-brasil
28,CNPJ,10901945000138,AMANDA LOHN KOERIG EIRELI - ME,socios-brasil
31,CNPJ,00064291000181,AMANDA LOJA DE DEPARTAMENTOS LTDA - ME,socios-brasil
32,CNPJ,03431045000109,AMANDA LOPES RIBEIRO STUDART GOMES MONTEIRO EIRELI - ME,socios-brasil
41,CNPJ,15735666000165,AMANDA LOPES TECNOLOGIA DA INFORMACAO E COMUNICACAO LTDA - ME,socios-brasil
42,CNPJ,13246876000164,AMANDA LOPES TINOCO & CIA LIMITADA - ME,socios-brasil
24,CNPJ,26375242000153,AMANDA.LORENCINI UVV-PSI 2019-2,socios-brasil
32,CNPJ,04222887000113,AMANDA LORI FERREIRA & CIA LTDA - ME,socios-brasil
27,CNPJ,22747818000105,AMANDA-LOURES FED-ENGPROD 2019-1,socios-brasil
30,CNPJ,28024742000176,AMANDA-LOUVERA FISIO-FACSUM 20-2,socios-brasil
45,CNPJ,21568024000111,AMANDA L SANTOS RESTAURANTE LTDA - ME,socios-brasil
47,CNPJ,18544364000106,AMANDA LUCIANA BAR E RESTAURANTE LTDA,socios-brasil
3,CNPJ,18102815000147,AMANDA LUIZA SCHAADE & CIA LTDA - ME,socios-brasil
22,CNPJ,01682494000102,AMANDA & LUMA COMERCIO DE RACOES LTDA,socios-brasil
46,CNPJ,21802751000100,AMANDA MACHADO COMERCIO DE ARTIGOS PARA O VESTUARIO LTDA - ME,socios-brasil
26,CNPJ,28421033000124,AMANDA MACHADO NUTRICAO EIRELI - ME,socios-brasil
27,CNPJ,14552716000106,"AMANDA MACHADO NUTRICAO, SAUDE & ESTETICA LTDA",socios-brasil
41,CNPJ,19300757000129,AMANDA.MACHADO- UNEC-MED-2016-2,socios-brasil
41,CNPJ,21545950000171,AMANDA MAIORKI TOMAZ DE SOUZA - ME [LEVY PAO],gastos-diretos
10,CNPJ,28451992000192,AMANDA MALCHER DA SILVA EIRELI - ME,socios-brasil
19,CNPJ,21686491000146,AMANDA & MALU SORVETERIA LTDA - ME,socios-brasil
30,CNPJ,12423980000114,AMANDA MANFRIM OZORIO DIAS E OUTRO,socios-brasil
3,CNPJ,10696696000196,AMANDA MARABUTO COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO LTDA - ME,socios-brasil
38,CNPJ,26384240000120,AMANDA MARCELLO BINOTO EIRELI - ME,socios-brasil
7,CNPJ,19749388000156,AMANDA MARCONDES DE SOUZA - EIRELI,socios-brasil
19,CNPJ,26507148000100,AMANDA MARGUTTI COMERCIO E CONFECCOES DE ROUPAS LTDA - ME,socios-brasil
31,CNPJ,28502239000189,AMANDA MARIA ALVES REIS COELHO - SOCIEDADE INDIVIDUAL DE ADVOCACIA,socios-brasil
24,CNPJ,10255336000159,AMANDA & MARIANA - COMERCIO DE BOLOS LTDA - EPP,socios-brasil
23,CNPJ,03361472000168,AMANDA MARIA TRANSPORTES LTDA.,socios-brasil
10,CNPJ,23150827000187,AMANDA MARIQUI COMERCIO EIRELI - ME,socios-brasil
27,CNPJ,17565792000144,AMANDA MARQUES AZEVEDO ARQUITETURA EIRELI - ME,socios-brasil
49,CNPJ,27027777000104,AMANDA MARSON BIGATAO EIRELI - ME,socios-brasil
13,CNPJ,26246056000114,AMANDA MARTINS DE CASTRO BERNARDES SOCIEDADE INDIVIDUAL DE ADVOCACIA,socios-brasil
43,CNPJ,10514025000167,AMANDA MARTINS & SAMANTA MARTINS LTDA - ME,socios-brasil
11,CNPJ,15106394000134,AMANDA MASCAGNA BROGGIO E CIA LTDA - ME,socios-brasil
26,CNPJ,06007740000136,AMANDA MATERIAIS DE CONSTRUCAO LTDA - ME,socios-brasil
27,CNPJ,11191371000114,AMANDA MATERIAIS DE CONSTRUCAO LTDA - ME,socios-brasil
28,CNPJ,21724051000136,AMANDA & MATEUS REPRESENTACOES LTDA. - ME,socios-brasil
30,CNPJ,10848453000126,AMANDA MATHEUCCI SANTOS EIRELI - ME,socios-brasil
16,CNPJ,27754354000188,AMANDA MATREIRO EIRELI - ME,socios-brasil
49,CNPJ,19380362000183,AMANDA & MAYARA COMERCIO DE ROUPAS E MOVEIS INFANTIS LTDA. - EPP,socios-brasil
42,CNPJ,10376917000149,AMANDA M. DA COSTA SARTO - EPP [MULTIDROGAS JARDIM DAS ROSAS],gastos-diretos
43,CNPJ,28976646000128,AMANDA M. DA. C. SANTORO SOCIEDADE INDIVIDUAL DE ADVOCACIA,socios-brasil
44,CNPJ,05542838000120,AMANDA M . DA SILVA & CIA LTDA - ME,socios-brasil
45,CNPJ,00200307000136,AMANDA M. DA SILVA & CIA LTDA - ME,socios-brasil
46,CNPJ,10557998000183,AMANDA M. DA SILVA - ME [FARMACIA CORTES],gastos-diretos
3,CNPJ,05070822000162,AMANDA MEDEIROS BUFFET LTDA - ME,socios-brasil
29,CNPJ,04201275000144,AMANDA MEDEIROS SQUARIZE & CIA LTDA - ME,socios-brasil
35,CNPJ,10980234000104,AMANDA MEI & CIA LTDA - ME,socios-brasil
49,CNPJ,18979653000120,AMANDA MELO SANT ANNA 07209247742 [COMSERVRURAL],gastos-diretos
33,CNPJ,27760538000150,AMANDA MENDES DE AGUIAR SOCIEDADE INDIVIDUAL DE ADVOCACIA,socios-brasil
46,CNPJ,23526674000120,AMANDA MENDES DOMINGOS EIRELI - ME,socios-brasil
49,CNPJ,17051472000176,AMANDA MENDES DUARTE COMERCIO VAREJISTA LTDA - ME,socios-brasil
10,CNPJ,03137322000175,AMANDA MENDES GONCALVES DA SILVA & CIA LIMITADA - ME,socios-brasil
25,CNPJ,11264812000160,AMANDA MENDES REPRESENTACOES LTDA,socios-brasil
20,CNPJ,13137767000109,AMANDA MENEGHETTI GARDELIN E OUTRA,socios-brasil
15,CNPJ,07056276000130,AMANDA MEROLA DE MELO & CIA LTDA,socios-brasil
33,CNPJ,13197964000113,AMANDA MESTRINER & CIA LTDA - ME,socios-brasil
37,CNPJ,23332433000140,AMANDA & MIKAELLY CURSOS TECNICOS LTDA - ME,socios-brasil
29,CNPJ,19407409000155,AMANDA MODA FEMININA - EIRELI - ME,socios-brasil
30,CNPJ,10719604000146,AMANDA MODAS CONFECCOES LTDA - ME,socios-brasil
31,CNPJ,01768318000180,AMANDA MODAS E CONFECCOES LTDA - ME,socios-brasil
32,CNPJ,03582626000141,AMANDA MODAS LTDA,socios-brasil
33,CNPJ,14580825000137,AMANDA MODAS LTDA - ME,socios-brasil
34,CNPJ,19649197000112,AMANDA MODAS LTDA - ME,socios-brasil
35,CNPJ,21901171000161,AMANDA MODAS LTDA - ME,socios-brasil
36,CNPJ,08643057000110,AMANDA MODAS LTDA. - ME,socios-brasil
37,CNPJ,07961544000169,AMANDA MODELOS E PRODUCOES LTDA - ME,socios-brasil
44,CNPJ,23477123000113,AMANDA MOGNON & CIA LTDA - ME,socios-brasil
48,CNPJ,20161207000155,AMANDA MOLETA [POJO FILMES],gastos-diretos
2,CNPJ,27248500000101,AMANDA M. OLIVEIRA & CIA LTDA - EPP,socios-brasil
4,CNPJ,21332402000163,AMANDA MONTEIRO MACEDO EIRELI - ME,socios-brasil
1,CNPJ,14932446000169,AMANDA MORAIS BARRETO & CIA LTDA - ME,"socios-brasil,gastos-deputados,gastos-diretos"
21,CNPJ,26734685000193,AMANDA MORALES REPRESENTACOES LTDA. - EPP,socios-brasil
34,CNPJ,27024730000189,AMANDA MOREIRA MONTEIRO SOCIEDADE INDIVIDUAL DE ADVOCACIA,socios-brasil
1,CNPJ,19587931000166,AMANDA MOURA ARAUJO EIRELI - ME,socios-brasil
4,CNPJ,10889577000150,AMANDA MOVEIS E ELETRODOMESTICOS LTDA - EPP,socios-brasil
5,CNPJ,11215440000182,AMANDA MOVEIS E ELETRODOMESTICOS LTDA - ME,socios-brasil
6,CNPJ,28240127000105,AMANDA MOVEIS HOSPITALARES E FARMACIA LTDA - ME,socios-brasil
7,CNPJ,20096010000180,AMANDA MOY PANDO & CIA. LTDA. - ME,socios-brasil
9,CNPJ,00333378000107,AMANDA MUDANCAS E TRANSPORTES LTDA - ME,socios-brasil
47,CNPJ,20901693000109,AMANDA NACCA DOCES E SALGADOS LTDA - ME,socios-brasil
18,CNPJ,28758573000106,AMANDA NASCIMENTO FISIOTERAPIA EIRELI - ME,socios-brasil
24,CNPJ,05303525000110,AMANDA NATY CALCADOS LTDA - ME,socios-brasil
10,CNPJ,10261498000108,AMANDANE AUTO MECANICA LTDA - ME,socios-brasil
37,CNPJ,08686846000139,AMANDANET LTDA - ME,socios-brasil
40,CNPJ,01807792000173,AMANDA NETO CONFECCOES LTDA - ME,socios-brasil
23,CNPJ,09438465000101,AMANDA NEVES MORAIS & CIA LTDA - ME,socios-brasil
32,CNPJ,17917123000194,AMANDA NOGUEIRA DE OLIVEIRA - EIRELI - ME,socios-brasil
41,CNPJ,27004161000100,AMANDA NOGUEIRA INTERMEDIACAO IMOBILIARIA EIRELI - EPP,socios-brasil
9,CNPJ,07593695000101,AMANDA NOIVAS LTDA - ME,socios-brasil
10,CNPJ,11384275000192,AMANDA NUNES DE AGUIAR & CIA. LTDA - ME,"socios-brasil,gastos-deputados"
24,CNPJ,27291995000143,AMANDA OLEGARIO DE SOUZA - CLINICA ODONTOLOGICA EIRELI - EPP,socios-brasil
14,CNPJ,22573117000105,AMANDA OLIVEIRA CALCADOS E CONFECCOES LTDA - ME,socios-brasil
5,CNPJ,04554851000137,AMANDA OLIVEIRA DOS SANTOS & CIA LTDA - ME,socios-brasil
8,CNPJ,18496152000192,AMANDA OLIVEIRA SILVA EIRELI - ME,socios-brasil
34,CNPJ,07087440000177,AMANDA O PEREIRA PESSOA CONSULTORIA E ASSESSORIA EMPRESARIAL LTDA - ME,socios-brasil
7,CNPJ,26203781000105,AMANDA OTICA EIRELI,socios-brasil
41,CNPJ,25506197000166,AMANDA PADRONI REPRESENTACOES LTDA - ME,socios-brasil
48,CNPJ,03512965000151,AMANDA PAES E DOCES LTDA,socios-brasil
49,CNPJ,02246793000159,AMANDA PAES E DOCES LTDA - EPP,socios-brasil
0,CNPJ,09608113000149,AMANDA PAES-IND E COM DE PAES E DOCES LTDA - ME,socios-brasil
5,CNPJ,19155835000149,AMANDA PAIM ANTUNES EIRELI - EPP,socios-brasil
27,CNPJ,17595070000132,AMANDA PALMA COELHO - EIRELI - ME,socios-brasil
41,CNPJ,07546055000140,AMANDA PANIFICACAO LTDA - ME,socios-brasil
2,CNPJ,10790612000189,AMANDA PAPERS REPRESENTACOES LTDA - ME,socios-brasil
43,CNPJ,08435334000108,AMANDA PATRICIO SIMON - ME,"socios-brasil,gastos-deputados"
28,CNPJ,10962260000100,AMANDA PAULA LEITE & CIA. LTDA - ME,socios-brasil
47,CNPJ,28450175000110,AMANDA.PENA UFES ECO 2020 1,socios-brasil
6,CNPJ,28240757000171,AMANDA PERANTONI GUIGEN & CIA LTDA,socios-brasil
40,CNPJ,26967458000108,AMANDA PEREIRA BORGES - EIRELI - EPP,socios-brasil
10,CNPJ,19147592000105,AMANDA PEREIRA DA COSTA - ME [LAVANDERIA APARECIDA],gastos-diretos
18,CNPJ,04418525000100,AMANDA PEREIRA TAVARES DOS SANTOS E CIA LTDA - ME,socios-brasil
43,CNPJ,05895366000190,AMANDA PERILLO & CIA LTDA - ME,socios-brasil
28,CNPJ,14338061000178,AMANDA PET SHOP LTDA - ME,socios-brasil
39,CNPJ,18725266000167,AMANDA PIAI PEREIRA & CIA LTDA - ME,socios-brasil
0,CNPJ,19964913000156,AMANDA PILZ VALENTE ROQUE FERREIRA EIRELI - ME,socios-brasil
21,CNPJ,20096496000156,AMANDA PINAS SOUZA EIRELI - ME,"socios-brasil,gastos-deputados"
33,CNPJ,23594707000179,AMANDA PINHEIRO DESIGN DE INTERIORES EIRELI - ME,socios-brasil
46,CNPJ,20540766000176,AMANDA PINHEIRO LUNA EIRELI - ME,socios-brasil
42,CNPJ,26202490000100,AMANDA PIRES BARROSO EIRELI - ME,socios-brasil
41,CNPJ,28916824000125,AMANDA POLIMENO GUERZONI - EIRELI - ME,socios-brasil
37,CNPJ,06029207000175,AMANDA POSSIDONIO FERNANDES ARAUJO E CIA LTDA - ME,socios-brasil
42,CNPJ,15360440000127,AMANDA POUSADA LTDA - ME,socios-brasil
43,CNPJ,19498362000182,AMANDA PPC ABREU SUPORTE TI LTDA - ME,socios-brasil
16,CNPJ,05074813000140,AMANDA PRESENTES E ACESSORIOS LTDA - ME,socios-brasil
17,CNPJ,82516303000126,AMANDA PRESENTES LTDA,socios-brasil
18,CNPJ,05249219000142,AMANDA PRESENTES LTDA,socios-brasil
19,CNPJ,39265558000134,AMANDA PRESENTES LTDA - ME,socios-brasil
20,CNPJ,07387507000199,AMANDA PRESENTES LTDA - ME,socios-brasil
21,CNPJ,00393839000137,AMANDA PRESTACAO DE SERVICOS LTDA,socios-brasil
3,CNPJ,03049080000168,AMANDA PRISCILA DOS SANTOS DE PAULA & CIA LTDA - ME,socios-brasil
25,CNPJ,21029471000100,AMANDA PRISCILLA ALMEIDA GOMES DA SILVA EIRELI - ME,socios-brasil
46,CNPJ,04968121000182,AMANDA PRODUTOS DE BELEZA LTDA - ME,socios-brasil
7,CNPJ,06120089000106,AMANDA PULZ & CIA LTDA - ME,socios-brasil
7,CNPJ,20684653000144,AMANDA QUINTAM DUARTE FERREIRA E OUTRO,socios-brasil
41,CNPJ,12255346000110,AMANDA & RAFAEL BOMBONIERE LTDA - ME,socios-brasil
23,CNPJ,29211177000119,AMANDA RAMOS E CIA LTDA - ME,socios-brasil
28,CNPJ,18589646000111,AMANDA RAMOS LTDA - ME,socios-brasil
35,CNPJ,12756705000112,AMANDA RAQUEL DE OLIVEIRA & OLIVEIRA LTDA - ME,socios-brasil
38,CNPJ,25287163000128,AMANDA RAQUEL FELIX DE MELO - EIRELI - ME,socios-brasil
2,CNPJ,05648248000187,AMANDA RB MOVEIS E ELETROS LTDA - ME,socios-brasil
5,CNPJ,26635675000109,AMANDA REBECA DA COSTA UCHOA EIRELI - EPP,socios-brasil
21,CNPJ,09077332000149,AMANDA REFRIGERACAO LTDA - ME,socios-brasil
