Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Age_Class,Fare_Class,relatives,Last_Name,Pronoun
1.0,1,William Augustus (Marie Eugenie),0,40.0,1,0,802,146.5208,0,2.0,2.0,1,755,13
1.0,3,Mary Agatha,0,40.0,0,0,397,7.75,1,2.0,1.0,0,287,9
0.0,2,Edward H,1,66.0,0,0,751,10.5,2,4.0,1.0,0,838,12
0.0,1,Edgar Joseph,1,28.0,1,0,820,82.1708,0,2.0,1.0,1,520,12
0.0,1,Alexander Oskar,1,42.0,1,0,55,52.0,2,3.0,1.0,1,349,12
1.0,3,Hanna,1,42.0,0,0,272,7.2292,0,3.0,1.0,0,485,12
0.0,3,Ernest Charles,1,21.0,0,0,706,8.05,2,2.0,1.0,0,124,12
0.0,3,Augusta Maria,0,18.0,2,0,418,18.0,2,1.0,1.0,2,817,9
1.0,3,Jamila,0,14.0,1,0,245,11.2417,0,1.0,1.0,1,569,9
0.0,3,Johan (Johanna Persdotter Larsson),0,40.0,1,0,695,9.475,2,2.0,1.0,1,8,13
0.0,2,William John Robert (Dorothy Ann Wonnacott),0,27.0,1,0,69,21.0,2,2.0,1.0,1,809,13
0.0,3,Theodor,1,27.0,0,0,536,7.8958,0,2.0,1.0,0,415,12
1.0,2,Simonne Marie Anne Andree,0,3.0,1,2,868,41.5792,0,1.0,1.0,3,428,9
1.0,3,Margaret Delia,0,19.0,0,0,384,7.8792,1,1.0,1.0,0,205,9
0.0,3,William John,1,19.0,0,0,840,8.05,2,1.0,1.0,0,677,12
0.0,3,Denis,1,19.0,1,0,637,15.5,1,1.0,1.0,1,440,12
1.0,3,Bridget,0,19.0,0,0,100,7.75,1,1.0,1.0,0,586,9
0.0,3,Youssef,1,19.0,2,0,256,21.6792,0,1.0,1.0,2,706,12
0.0,3,Josef (Josefine Franchi),0,18.0,1,0,520,17.8,2,1.0,1.0,1,28,13
0.0,3,Juha Niilo,1,7.0,4,1,335,39.6875,2,1.0,1.0,5,609,8
0.0,3,Richard Cater,1,21.0,0,0,718,7.8,2,2.0,1.0,0,576,12
1.0,1,Henry Sleeper (Myna Haxtun),0,49.0,1,0,803,76.7292,0,3.0,1.0,1,315,13
1.0,2,Lizzie (Elizabeth Anne Wilkinson),0,29.0,1,0,324,26.0,2,2.0,1.0,1,246,13
0.0,1,Engelhart Cornelius,1,65.0,0,1,39,61.9792,0,4.0,1.0,1,601,12
1.0,1,Hugh,1,65.0,0,0,122,35.5,2,4.0,1.0,0,857,12
1.0,2,Emily,0,21.0,0,0,758,10.5,2,2.0,1.0,0,690,9
0.0,3,Mansouer,1,28.5,0,0,292,7.2292,0,2.0,1.0,0,578,12
1.0,2,Constance Mirium,0,5.0,1,2,768,27.75,2,1.0,1.0,3,836,9
0.0,3,William Frederick,1,11.0,5,2,775,46.9,2,1.0,1.0,7,292,8
0.0,3,Orsen,1,22.0,0,0,263,7.2292,0,2.0,1.0,0,733,12
1.0,1,Amelie,0,38.0,0,0,42,80.0,0,2.0,1.0,0,361,9
0.0,1,Henry Birkhardt,1,45.0,1,0,630,83.475,2,3.0,1.0,1,317,12
0.0,3,Harald,1,4.0,3,2,464,27.9,2,1.0,1.0,5,739,8
0.0,1,Albert A,1,4.0,0,0,821,27.7208,0,1.0,1.0,0,765,12
1.0,3,Gerios,1,4.0,1,1,255,15.2458,0,1.0,1.0,2,543,8
1.0,2,(Elizabeth Ramell),0,29.0,0,0,755,10.5,2,2.0,1.0,0,579,13
0.0,3,Ernest James,1,19.0,0,0,849,8.1583,2,1.0,1.0,0,178,12
1.0,3,Erna Alexandra,0,17.0,4,2,334,7.925,2,1.0,1.0,6,21,9
0.0,3,Vincenz,1,26.0,2,0,363,8.6625,2,2.0,1.0,2,409,12
0.0,2,Stephen Curnow,1,32.0,0,0,762,10.5,2,2.0,1.0,0,374,12
0.0,3,Lillian Amy,0,16.0,5,2,775,46.9,2,1.0,1.0,7,292,9
0.0,2,Ambrose Jr,1,21.0,0,0,847,73.5,2,2.0,1.0,0,352,12
0.0,3,Apostolos,1,26.0,1,0,275,14.4542,0,2.0,1.0,1,149,12
1.0,3,Lee,1,32.0,0,0,104,56.4958,2,2.0,1.0,0,76,12
0.0,3,Sigurd Hansen,1,25.0,0,0,481,7.65,2,2.0,1.0,0,533,12
0.0,3,Ivan,1,25.0,0,0,491,7.8958,2,2.0,1.0,0,758,12
0.0,3,Rahamin Haim,1,25.0,0,0,650,8.05,2,2.0,1.0,0,545,12
1.0,2,Alden Gates,1,0.83,0,2,211,29.0,2,1.0,1.0,2,118,8
1.0,3,Elizabeth,0,30.0,0,0,593,12.475,2,2.0,1.0,0,217,9
0.0,3,Achille,1,22.0,0,0,420,9.0,2,2.0,1.0,0,823,12
1.0,3,Jan Baptist,1,29.0,0,0,430,9.5,2,2.0,1.0,0,720,12
1.0,3,Brigdet Delia,0,29.0,0,0,382,7.7875,1,2.0,1.0,0,505,9
0.0,1,Francisco M,1,28.0,0,0,35,47.1,2,2.0,1.0,0,130,12
1.0,2,Bertha,0,17.0,0,0,871,10.5,2,1.0,1.0,0,362,9
1.0,3,Karl Alfred (Maria Mathilda Gustafsson),0,33.0,3,0,333,15.85,2,2.0,1.0,3,43,13
0.0,3,William Neal,1,16.0,1,3,924,34.375,2,1.0,1.0,4,255,12
0.0,3,Selman Francis,1,16.0,0,0,894,8.05,2,1.0,1.0,0,743,12
1.0,1,Mabel Helen,0,23.0,3,2,123,263.0,2,2.0,3.0,5,257,9
0.0,3,Francesco,1,24.0,0,0,411,8.05,2,2.0,1.0,0,136,12
0.0,3,Emil,1,29.0,0,0,412,8.05,2,2.0,1.0,0,147,12
0.0,3,Paul Edvin,1,20.0,0,0,471,7.8542,2,2.0,1.0,0,22,12
0.0,1,Herbert Fuller,1,46.0,1,0,926,61.175,2,3.0,1.0,1,137,12
0.0,3,Bertram Frank,1,26.0,1,2,750,20.575,2,2.0,1.0,3,199,12
0.0,3,Daniel,1,59.0,0,0,589,7.25,2,3.0,1.0,0,176,12
0.0,3,Charles Joseph,1,59.0,0,0,652,8.05,2,3.0,1.0,0,724,12
0.0,1,George B,1,71.0,0,0,830,34.6542,0,4.0,1.0,0,289,12
1.0,1,William Bertram,1,23.0,0,1,835,63.3583,0,2.0,1.0,1,297,12
1.0,2,John T (Ada Julia Bone),0,34.0,0,1,149,23.0,2,2.0,1.0,1,213,13
0.0,2,Sinai,1,34.0,1,0,199,26.0,2,2.0,1.0,1,391,12
0.0,3,Matilda,0,28.0,0,0,528,7.8958,2,2.0,1.0,0,637,9
0.0,3,"Pastcho (""Pentcho"")",1,28.0,0,0,498,7.8958,2,2.0,1.0,0,638,12
0.0,1,Richard Frasar,1,21.0,0,1,574,77.2875,2,2.0,1.0,1,840,12
0.0,3,Gustaf Joel,1,33.0,0,0,693,8.6542,2,2.0,1.0,0,380,12
0.0,3,Anders Vilhelm,1,37.0,2,0,331,7.925,2,2.0,1.0,2,301,12
0.0,3,Stoytcho,1,28.0,0,0,490,7.8958,2,2.0,1.0,0,528,12
1.0,3,Anna Kristine,0,21.0,0,0,409,7.65,2,2.0,1.0,0,703,9
1.0,3,Albert Johan,1,21.0,0,0,341,7.775,2,2.0,1.0,0,542,12
0.0,3,Tido,1,38.0,0,0,532,7.8958,2,2.0,1.0,0,658,12
1.0,3,Bertha,0,38.0,1,0,646,24.15,1,2.0,1.0,1,538,9
0.0,1,Walter Chamberlain,1,47.0,0,0,2,52.0,2,3.0,1.0,0,649,12
0.0,3,Hileni,0,14.5,1,0,259,14.4542,0,1.0,1.0,1,865,9
0.0,3,David John,1,22.0,0,0,370,8.05,2,2.0,1.0,0,57,12
0.0,3,Katriina,0,20.0,1,0,674,9.825,2,2.0,1.0,1,388,9
0.0,3,Malake,0,17.0,0,0,235,14.4583,0,1.0,1.0,0,38,9
0.0,3,Edvard,1,21.0,0,0,910,7.925,2,2.0,1.0,0,625,12
0.0,3,Patrick,1,70.5,0,0,635,7.75,1,4.0,1.0,0,167,12
0.0,2,William John Robert,1,29.0,1,0,69,21.0,2,2.0,1.0,1,809,12
0.0,1,Quigg Edmond,1,24.0,0,1,800,247.5208,0,2.0,3.0,1,60,12
0.0,3,Ellis Anna Maria,0,2.0,4,2,459,31.275,2,1.0,1.0,6,21,9
0.0,2,Stanley George,1,21.0,2,0,847,73.5,2,2.0,1.0,2,337,12
0.0,3,Leonard Charles,1,21.0,0,0,738,8.05,2,2.0,1.0,0,537,12
0.0,2,Nicholas,1,32.5,1,0,174,30.0708,0,2.0,1.0,1,559,12
1.0,2,Susan,0,32.5,0,0,297,13.0,2,2.0,1.0,0,831,9
0.0,1,Percival Wayland,1,54.0,0,1,574,77.2875,2,3.0,1.0,1,840,12
1.0,3,Elias,1,12.0,1,0,245,11.2417,0,1.0,1.0,1,569,8
0.0,3,Martin,1,12.0,0,0,638,7.75,1,1.0,1.0,0,511,12
1.0,3,Fridtjof Arne,1,24.0,0,0,742,7.1417,2,2.0,1.0,0,476,12
1.0,3,Anna,0,24.0,1,1,262,22.3583,0,2.0,1.0,2,634,9
0.0,3,Johan,1,45.0,0,0,438,6.975,2,3.0,1.0,0,233,12
0.0,3,Jozef,1,33.0,0,0,524,7.8958,0,2.0,1.0,0,221,12
0.0,3,Domingos Fernandeo,1,20.0,0,0,876,7.05,2,2.0,1.0,0,154,12
0.0,3,Alexander A (Grace Charity Laury),0,47.0,1,0,735,14.5,2,3.0,1.0,1,675,13
1.0,2,Leopold (Mathilde Francoise Pede),0,29.0,1,0,143,26.0,2,2.0,1.0,1,833,13
0.0,2,Samuel James Hayden,1,25.0,0,0,754,13.0,2,2.0,1.0,0,750,12
0.0,2,Emile,1,23.0,0,0,859,15.0458,0,2.0,1.0,0,665,12
1.0,1,Helen Monypeny,0,19.0,0,2,71,26.2833,2,1.0,1.0,2,566,9
0.0,1,Jacques Heath,1,37.0,1,0,65,53.1,2,2.0,1.0,1,267,12
0.0,3,Olaf Elon,1,16.0,0,0,691,9.2167,2,1.0,1.0,0,599,12
0.0,1,Victor,1,24.0,0,0,810,79.2,0,2.0,1.0,0,279,12
0.0,3,Joseph (Sultana),0,24.0,0,2,273,15.2458,0,2.0,1.0,2,90,13
1.0,3,Anna Sofia,0,22.0,0,0,458,7.75,2,2.0,1.0,0,580,9
1.0,3,Pekka Pietari (Elin Matilda Dolck),0,24.0,1,0,913,15.85,2,2.0,1.0,1,305,13
0.0,3,Jeremiah,1,19.0,0,0,602,6.75,1,1.0,1.0,0,108,12
0.0,2,Edgardo Samuel,1,18.0,0,0,150,11.5,2,1.0,1.0,0,23,12
0.0,2,Joseph Charles,1,19.0,1,1,763,36.75,2,1.0,1.0,2,567,12
1.0,3,"August Edvard (""Wennerstrom"")",1,27.0,0,0,553,7.7958,2,2.0,1.0,0,21,12
0.0,3,"Robina Maggie ""Ruby""",0,9.0,2,2,924,34.375,2,1.0,1.0,4,255,9
0.0,2,"Michel (""Louis M Hoffman"")",1,36.5,0,2,145,26.0,2,2.0,1.0,2,562,12
0.0,2,Thomas Roussel Davids,1,42.0,0,0,194,13.0,2,3.0,1.0,0,113,15
0.0,2,Robert James,1,51.0,0,0,848,12.525,2,3.0,1.0,0,58,15
1.0,1,Thomas (Edith Wearne),0,22.0,1,0,46,66.6,2,2.0,1.0,1,622,13
0.0,3,Alfonzo,1,55.5,0,0,709,8.05,2,3.0,1.0,0,518,12
0.0,3,Austin Blyler,1,40.5,0,2,736,14.5,2,3.0,1.0,2,873,12
0.0,3,Ole Martin,1,40.5,0,0,786,7.3125,2,3.0,1.0,0,594,12
0.0,1,Charles Duane,1,51.0,0,1,814,61.3792,0,3.0,1.0,1,850,12
1.0,3,"Katherine ""Katie""",0,16.0,0,0,575,7.7333,1,1.0,1.0,0,285,9
0.0,3,Harry,1,30.0,0,0,896,8.05,2,2.0,1.0,0,172,12
0.0,3,Mile,1,30.0,0,0,345,8.6625,2,2.0,1.0,0,746,12
0.0,3,Thomas Henry,1,30.0,8,2,778,69.55,2,2.0,1.0,10,700,8
0.0,3,John Hatfield,1,44.0,0,1,647,16.1,2,3.0,1.0,1,179,12
1.0,2,"James (Elizabeth ""Bessie"" Inglis Milne)",0,40.0,0,0,764,15.75,2,2.0,1.0,0,830,13
0.0,3,John Viktor,1,26.0,0,0,445,7.775,2,2.0,1.0,0,70,12
0.0,3,Jovo,1,17.0,0,0,357,8.6625,2,1.0,1.0,0,119,12
0.0,3,Eino Viljami,1,1.0,4,1,335,39.6875,2,1.0,1.0,5,609,8
1.0,3,"Frank John William ""Frankie""",1,9.0,0,2,583,20.525,2,1.0,1.0,2,290,8
1.0,1,(Edith Martha Bowerman),0,9.0,0,1,38,55.0,2,1.0,1.0,1,144,13
0.0,3,William (Anna Bernhardina Karlsson),0,45.0,1,4,464,27.9,2,3.0,1.0,5,739,13
0.0,1,John D,1,45.0,0,0,790,25.925,2,3.0,1.0,0,59,12
0.0,3,Lee,1,28.0,0,0,104,56.4958,2,2.0,1.0,0,456,12
0.0,1,Wyckoff,1,61.0,0,0,8,33.5,2,4.0,1.0,0,812,12
0.0,3,Arthur,1,4.0,4,1,659,29.125,1,1.0,1.0,5,664,8
1.0,3,Eleanor Ileen,0,1.0,1,1,477,11.1333,2,1.0,1.0,2,382,9
0.0,3,Antti Wilhelm,1,21.0,0,0,902,7.925,2,2.0,1.0,0,736,12
0.0,1,James Clinch,1,56.0,0,0,115,30.6958,0,3.0,1.0,0,747,12
0.0,3,Klas Albin,1,18.0,1,1,564,7.8542,2,1.0,1.0,2,413,12
0.0,3,Henry Forbes,1,18.0,3,1,671,25.4667,2,1.0,1.0,4,434,8
0.0,1,Ann Elizabeth,0,50.0,0,0,812,28.7125,0,3.0,1.0,0,365,9
0.0,2,Reginald,1,30.0,0,0,225,13.0,2,2.0,1.0,0,306,12
0.0,3,Lionel,1,36.0,0,0,787,0.0,2,2.0,0.0,0,441,12
0.0,3,Constance Gladys,0,36.0,8,2,778,69.55,2,2.0,1.0,10,700,9
0.0,2,Rene,1,36.0,0,0,858,15.05,0,2.0,1.0,0,630,12
0.0,3,Clarence Gustaf Hugo,1,9.0,4,2,454,31.3875,2,1.0,1.0,6,33,8
1.0,2,Richard F,1,1.0,2,1,146,39.0,2,1.0,1.0,3,66,8
1.0,3,Luise Gretchen,0,4.0,0,2,365,22.025,2,1.0,1.0,2,410,9
0.0,1,Hugh Roscoe,1,4.0,0,0,44,50.0,2,1.0,1.0,0,680,12
1.0,3,"Thomas (Johanna ""Hannah"" Godfrey)",0,4.0,1,0,633,15.5,1,1.0,1.0,1,582,13
1.0,1,"Charles Hallace (""Mr C Rolmane"")",1,45.0,0,0,14,26.55,2,3.0,1.0,0,678,12
0.0,3,John,1,40.0,1,1,596,15.5,1,2.0,1.0,2,91,12
0.0,3,Stjepan,1,36.0,0,0,530,7.8958,2,2.0,1.0,0,806,12
1.0,2,(Rosa),0,32.0,0,0,156,13.0,2,2.0,1.0,0,644,13
0.0,2,William,1,19.0,0,0,310,13.0,2,1.0,1.0,0,126,12
1.0,3,Carla Christine Nielsine,0,19.0,1,0,555,7.8542,2,1.0,1.0,1,19,9
1.0,2,Michel M,1,3.0,1,1,145,26.0,2,1.0,1.0,2,562,8
1.0,1,James Joseph (Margaret Tobin),0,44.0,0,0,826,27.7208,0,3.0,1.0,0,104,13
1.0,1,Elise,0,58.0,0,0,802,146.5208,0,3.0,2.0,0,470,9
0.0,3,Robert,1,58.0,0,0,624,7.75,1,3.0,1.0,0,519,12
0.0,3,Karl Siegwart Andreas,1,42.0,0,1,677,8.4042,2,3.0,1.0,1,594,12
1.0,3,"Margaret ""Maggie""",0,42.0,0,0,636,7.75,1,3.0,1.0,0,474,9
0.0,2,"Henriette (""Mrs Harbeck"")",0,24.0,0,0,215,13.0,2,2.0,1.0,0,864,9
0.0,3,Nestor Cyriel,1,28.0,0,0,423,9.5,2,2.0,1.0,0,814,12
0.0,3,Frederick,1,28.0,8,2,778,69.55,2,2.0,1.0,10,700,12
0.0,3,Jakob Alfred,1,34.0,0,0,327,6.4958,2,2.0,1.0,0,379,12
0.0,3,Gerious,1,45.5,0,0,236,7.225,0,3.0,1.0,0,861,12
1.0,3,"Gurshon ""Gus""",1,18.0,0,0,728,8.05,2,1.0,1.0,0,155,12
0.0,3,Telma Matilda,0,2.0,0,1,436,10.4625,2,1.0,1.0,1,774,9
0.0,3,Karl Alfred,1,32.0,1,0,333,15.85,2,2.0,1.0,1,43,12
1.0,3,Nassef Cassem,1,26.0,0,0,294,18.7875,0,2.0,1.0,0,10,12
1.0,3,"Helen ""Ellen""",0,16.0,0,0,613,7.75,1,1.0,1.0,0,129,9
1.0,1,Henry,1,40.0,0,0,21,31.0,0,2.0,1.0,0,85,12
0.0,3,Ahmed,1,24.0,0,0,880,7.05,2,2.0,1.0,0,14,12
1.0,2,Clear Annie,0,35.0,0,0,781,21.0,2,2.0,1.0,0,120,9
0.0,3,John Henry,1,22.0,0,0,723,7.25,2,2.0,1.0,0,629,12
0.0,2,Hans Kristensen,1,30.0,0,0,218,13.0,2,2.0,1.0,0,286,12
0.0,3,Philip,1,30.0,1,0,611,7.75,1,2.0,1.0,1,406,12
1.0,1,Madeleine,0,31.0,1,0,573,113.275,0,2.0,2.0,1,565,9
1.0,3,Eliina,0,27.0,0,0,915,7.925,2,2.0,1.0,0,351,9
0.0,2,Sidney Samuel,1,42.0,1,0,189,27.0,2,3.0,1.0,1,368,12
1.0,1,Albina,0,32.0,0,0,81,76.2917,0,2.0,1.0,0,61,9
0.0,2,Walter,1,30.0,0,0,927,10.5,2,2.0,1.0,0,317,12
1.0,3,Victor Francis,1,16.0,0,0,895,8.05,2,1.0,1.0,0,775,12
0.0,2,James H,1,27.0,0,0,136,13.0,2,2.0,1.0,0,95,12
0.0,3,George Henry,1,51.0,0,0,133,8.05,2,3.0,1.0,0,295,12
0.0,3,Christo,1,51.0,0,0,517,7.8958,2,3.0,1.0,0,563,12
1.0,1,Frederick Maxfield,1,38.0,1,0,121,90.0,2,2.0,1.0,1,356,12
0.0,3,Karl Ivar Sven,1,22.0,0,0,838,9.35,2,2.0,1.0,0,72,12
1.0,2,William John,1,19.0,0,0,918,10.5,2,1.0,1.0,0,517,12
0.0,3,"John Hall (""Henry"")",1,20.5,0,0,722,7.25,2,2.0,1.0,0,465,12
0.0,2,Arne Jonas,1,18.0,0,0,160,13.0,2,1.0,1.0,0,243,12
0.0,3,Mathilde,0,18.0,3,1,671,25.4667,2,1.0,1.0,4,434,9
1.0,1,Henry Birkhardt (Irene Wallach),0,35.0,1,0,630,83.475,2,2.0,1.0,1,317,13
0.0,3,Bengt Edvin,1,29.0,0,0,444,7.775,2,2.0,1.0,0,429,12
0.0,2,Ernst Adolf,1,59.0,0,0,167,13.5,2,3.0,1.0,0,738,12
1.0,3,Lillian Gertrud,0,5.0,4,2,454,31.3875,2,1.0,1.0,6,33,9
0.0,2,Robert William Norman,1,24.0,0,0,756,10.5,2,2.0,1.0,0,446,12
0.0,3,Alice Phoebe,0,24.0,0,0,925,7.55,2,2.0,1.0,0,313,9
0.0,2,Stephen,1,44.0,1,0,265,26.0,2,3.0,1.0,1,346,12
1.0,2,"Marjorie ""Lottie""",0,8.0,0,2,761,26.25,2,1.0,1.0,2,162,9
0.0,2,Frederick William,1,19.0,0,0,314,10.5,2,1.0,1.0,0,628,12
0.0,2,George Henry,1,33.0,0,0,870,12.275,2,2.0,1.0,0,358,12
0.0,3,Thamine,0,33.0,1,0,259,14.4542,0,2.0,1.0,1,865,9
1.0,3,"Katherine ""Kate""",0,33.0,1,0,612,15.5,1,2.0,1.0,1,550,9
0.0,2,Reginald Charles,1,29.0,0,0,921,10.5,2,2.0,1.0,0,158,12
0.0,3,Matti Alexanteri,1,22.0,0,0,901,7.125,2,2.0,1.0,0,477,12
0.0,3,Sleiman,1,30.0,0,0,289,7.225,0,2.0,1.0,0,38,12
0.0,1,William Edward,1,44.0,2,0,120,90.0,1,3.0,1.0,2,525,4
0.0,3,Agda Thorilda Viktoria,0,25.0,0,0,448,7.775,2,2.0,1.0,0,448,9
1.0,2,William (Anna),0,24.0,0,2,221,14.5,2,2.0,1.0,2,307,13
1.0,1,Richard Leonard,1,37.0,1,1,70,52.5542,2,2.0,1.0,2,67,12
0.0,2,Ernest Courtenay,1,54.0,1,0,191,26.0,2,3.0,1.0,1,131,15
0.0,3,James George,1,54.0,0,0,581,7.25,2,3.0,1.0,0,656,12
0.0,3,Wilhelm (Elna Matilda Persson),0,29.0,1,1,436,10.4625,2,2.0,1.0,2,774,13
0.0,1,William Thomas,1,62.0,0,0,41,26.55,2,4.0,1.0,0,762,12
0.0,3,William Arthur,1,30.0,1,0,734,16.1,2,2.0,1.0,1,459,12
0.0,3,Viktor (Helena Wilhelmina),0,41.0,0,2,632,20.2125,2,3.0,1.0,2,681,13
1.0,3,Darwis (Hanne Youssef Razi),0,29.0,0,2,244,15.2458,0,2.0,1.0,2,801,13
1.0,1,Gertrude Maybelle,0,29.0,0,0,806,79.2,0,2.0,1.0,0,790,13
1.0,1,Gladys,0,30.0,0,0,0,86.5,2,2.0,1.0,0,142,9
1.0,1,Anna,0,35.0,0,0,831,512.3292,0,2.0,6.0,0,826,9
1.0,2,(Lutie Davis),0,50.0,0,1,147,26.0,2,3.0,1.0,1,613,13
0.0,3,Thomas,1,50.0,0,0,664,7.75,1,3.0,1.0,0,747,12
1.0,3,Edvin Rojj Felix,1,3.0,4,2,454,31.3875,2,1.0,1.0,6,33,8
0.0,1,Emil,1,52.0,1,1,1,79.65,2,3.0,1.0,2,783,12
0.0,1,William,1,40.0,0,0,20,0.0,2,2.0,0.0,0,318,12
0.0,3,Delia,0,40.0,0,0,656,7.75,1,2.0,1.0,0,334,9
0.0,2,David,1,36.0,0,0,748,10.5,2,2.0,1.0,0,657,12
0.0,3,Ernesti Arvid,1,16.0,4,1,335,39.6875,2,1.0,1.0,5,609,12
1.0,3,Ernst Ulrik,1,25.0,1,0,460,7.775,2,2.0,1.0,1,632,12
1.0,1,William Thompson (Edith Junkins),0,58.0,0,1,805,153.4625,2,3.0,2.0,1,294,13
1.0,1,Amelia,0,35.0,0,0,836,135.6333,2,2.0,2.0,0,81,9
0.0,1,Alexander,1,35.0,0,0,62,31.0,2,2.0,1.0,0,116,12
1.0,3,William Henry,1,25.0,0,0,787,0.0,2,2.0,0.0,0,799,12
1.0,2,(Elizabeth Anne Maidment),0,41.0,0,1,217,19.5,2,3.0,1.0,1,516,13
0.0,1,Charles H,1,37.0,0,1,813,29.7,0,2.0,1.0,1,560,12
1.0,3,"Hanora ""Nora""",0,37.0,0,0,641,7.75,1,2.0,1.0,0,325,9
1.0,1,Kornelia Theodosia,0,63.0,1,0,92,77.9583,2,4.0,1.0,1,24,9
0.0,3,Augusta Charlotta,0,45.0,0,0,450,7.75,2,3.0,1.0,0,449,9
0.0,2,"Francis ""Frank""",1,45.0,0,0,178,0.0,2,3.0,0.0,0,611,12
0.0,3,Eric,1,7.0,4,1,659,29.125,1,1.0,1.0,5,664,8
1.0,3,Stanton (Rosa Hunt),0,35.0,1,1,753,20.25,2,2.0,1.0,2,1,13
0.0,3,Frank,1,65.0,0,0,399,7.75,1,4.0,1.0,0,223,12
0.0,3,Nils Johan Goransson,1,28.0,0,0,469,7.8542,2,2.0,1.0,0,595,12
0.0,3,Alfons,1,16.0,0,0,429,9.5,2,1.0,1.0,0,871,12
1.0,3,Edward Arthur,1,19.0,0,0,731,8.05,2,1.0,1.0,0,215,12
0.0,1,Richard William,1,19.0,0,0,34,26.0,2,1.0,1.0,0,747,12
0.0,3,Ivan,1,33.0,0,0,522,8.6625,0,2.0,1.0,0,759,12
1.0,3,Theodore,1,30.0,0,0,426,9.5,2,2.0,1.0,0,870,12
0.0,3,Penko,1,22.0,0,0,489,7.8958,2,2.0,1.0,0,553,12
1.0,2,Masabumi,1,42.0,0,0,176,13.0,2,3.0,1.0,0,354,12
1.0,3,Kate,0,22.0,0,0,639,7.75,1,2.0,1.0,0,166,9
1.0,1,"Ellen ""Nellie""",0,26.0,0,0,118,78.85,2,2.0,1.0,0,54,9
1.0,1,Dickinson H (Helen Walton),0,19.0,1,0,82,91.0792,0,1.0,1.0,1,80,13
0.0,2,Rene Jacques,1,36.0,0,0,869,12.875,0,2.0,1.0,0,444,12
0.0,3,Aloisia,0,24.0,0,0,519,8.85,2,2.0,1.0,0,302,9
0.0,3,Ivan,1,24.0,0,0,516,7.8958,2,2.0,1.0,0,526,12
0.0,1,Ervin G,1,24.0,0,0,828,27.7208,0,2.0,1.0,0,445,12
